Enzyme,Solvent,Concentration,Activity_mean,Activity_std,Temperature
DrER,EtOH,0,1.443,0.253,35
DrER,EtOH,0.1,0.065,0.079,35
DrER,EtOH,0.2,0.021,0.024,35
DrER,EtOH,5,1.132,0.150,35
DrER,EtOH,10,1.227,0.107,35
DrER,EtOH,15,0.572,0.047,35
DrER,EtOH,20,0.154,0.019,35
DrER,EtOH,25,0.019,0.018,35
DrER,EtOH,30,0.051,0.024,35
DrER,EtOH,35,0.031,0.022,35
DrER,EtOH,40,0.026,0.037,35
DrER,EtOH,45,0.012,0.042,35
DrER,MeOH,0,0.966,0.144,35
DrER,MeOH,0.1,0.006,0.012,35
DrER,MeOH,0.2,0.050,0.027,35
DrER,MeOH,5,0.992,0.037,35
DrER,MeOH,10,0.981,0.044,35
DrER,MeOH,15,0.889,0.021,35
DrER,MeOH,20,0.315,0.051,35
DrER,MeOH,25,0.069,0.038,35
DrER,MeOH,30,0.045,0.005,35
DrER,MeOH,35,0.019,0.023,35
DrER,MeOH,40,0.068,0.013,35
DrER,MeOH,45,0.031,0.017,35
DrER,EtOH,0,1.063,0.084,30
DrER,EtOH,0.1,0.044,0.028,30
DrER,EtOH,0.2,0.056,0.036,30
DrER,EtOH,5,1.097,0.089,30
DrER,EtOH,10,1.136,0.034,30
DrER,EtOH,15,0.998,0.043,30
DrER,EtOH,20,0.436,0.063,30
DrER,EtOH,25,0.101,0.028,30
DrER,EtOH,30,0.061,0.017,30
DrER,EtOH,35,0.001,0.010,30
DrER,EtOH,40,0.020,0.053,30
DrER,EtOH,45,0.096,0.071,30
DrER,MeOH,0,0.920,0.069,30
DrER,MeOH,0.1,0.045,0.021,30
DrER,MeOH,0.2,0.018,0.029,30
DrER,MeOH,5,0.950,0.071,30
DrER,MeOH,10,1.107,0.072,30
DrER,MeOH,15,1.032,0.051,30
DrER,MeOH,20,0.827,0.102,30
DrER,MeOH,25,0.391,0.073,30
DrER,MeOH,30,0.089,0.043,30
DrER,MeOH,35,-0.001,0.005,30
DrER,MeOH,40,0.028,0.060,30
DrER,MeOH,45,0.027,0.036,30
DrER,EtOH,0,0.719,0.456,25
DrER,EtOH,0.1,0.117,0.081,25
DrER,EtOH,0.2,-0.135,0.083,25
DrER,EtOH,5,0.669,0.197,25
DrER,EtOH,10,1.047,0.054,25
DrER,EtOH,15,0.982,0.112,25
DrER,EtOH,20,0.684,0.021,25
DrER,EtOH,25,0.373,0.158,25
DrER,EtOH,30,0.184,0.048,25
DrER,EtOH,35,0.135,0.028,25
DrER,EtOH,40,0.038,0.107,25
DrER,EtOH,45,0.106,0.079,25
DrER,MeOH,0,0.951,0.119,25
DrER,MeOH,0.1,0.154,0.220,25
DrER,MeOH,0.2,-0.095,0.042,25
DrER,MeOH,5,0.891,0.120,25
DrER,MeOH,10,1.096,0.150,25
DrER,MeOH,15,1.010,0.060,25
DrER,MeOH,20,0.924,0.134,25
DrER,MeOH,25,0.604,0.121,25
DrER,MeOH,30,0.187,0.010,25
DrER,MeOH,35,0.112,0.024,25
DrER,MeOH,40,0.118,0.037,25
DrER,MeOH,45,0.148,0.039,25
DrER,EtOH,0,0.289,0.084,45
DrER,EtOH,0.1,0.004,0.003,45
DrER,EtOH,0.2,0.002,0.001,45
DrER,EtOH,5,0.200,0.035,45
DrER,EtOH,10,0.021,0.021,45
DrER,EtOH,15,0.037,0.028,45
DrER,EtOH,20,0.081,0.057,45
DrER,EtOH,25,0.045,0.034,45
DrER,EtOH,30,0.040,0.007,45
DrER,EtOH,35,-0.101,0.088,45
DrER,EtOH,40,0.056,0.002,45
DrER,EtOH,45,0.018,0.041,45
DrER,MeOH,0,0.348,0.023,45
DrER,MeOH,0.1,0.002,0.001,45
DrER,MeOH,0.2,0.003,0.001,45
DrER,MeOH,5,0.285,0.053,45
DrER,MeOH,10,0.124,0.036,45
DrER,MeOH,15,0.014,0.029,45
DrER,MeOH,20,0.027,0.016,45
DrER,MeOH,25,0.032,0.016,45
DrER,MeOH,30,0.033,0.005,45
DrER,MeOH,35,0.040,0.005,45
DrER,MeOH,40,0.062,0.036,45
DrER,MeOH,45,0.028,0.014,45
DrER,EtOH,0,0.609,0.045,40
DrER,EtOH,0.1,0.012,0.013,40
DrER,EtOH,0.2,0.029,0.044,40
DrER,EtOH,5,0.602,0.208,40
DrER,EtOH,10,0.212,0.025,40
DrER,EtOH,15,0.038,0.010,40
DrER,EtOH,20,0.053,0.013,40
DrER,EtOH,25,0.038,0.018,40
DrER,EtOH,30,0.043,0.019,40
DrER,EtOH,35,0.027,0.011,40
DrER,EtOH,40,0.108,0.011,40
DrER,EtOH,45,-0.018,0.050,40
DrER,MeOH,0,0.667,0.015,40
DrER,MeOH,0.1,0.046,0.032,40
DrER,MeOH,0.2,0.017,0.014,40
DrER,MeOH,5,0.685,0.157,40
DrER,MeOH,10,0.412,0.025,40
DrER,MeOH,15,0.197,0.034,40
DrER,MeOH,20,0.052,0.026,40
DrER,MeOH,25,0.020,0.006,40
DrER,MeOH,30,0.029,0.004,40
DrER,MeOH,35,0.028,0.010,40
DrER,MeOH,40,0.046,0.018,40
DrER,MeOH,45,0.024,0.010,40
NerA,EtOH,0,0.020,0.002,30
NerA,EtOH,0.1,0.018,0.001,30
NerA,EtOH,0.2,-0.001,0.000,30
NerA,EtOH,5,0.017,0.001,30
NerA,EtOH,10,0.015,0.001,30
NerA,EtOH,15,0.010,0.000,30
NerA,EtOH,20,0.002,0.002,30
NerA,EtOH,25,0.000,0.001,30
NerA,EtOH,30,0.001,0.001,30
NerA,EtOH,35,0.002,0.001,30
NerA,EtOH,40,0.001,0.002,30
NerA,EtOH,45,0.002,0.001,30
NerA,MeOH,0,0.018,0.001,30
NerA,MeOH,0.1,0.019,0.000,30
NerA,MeOH,0.2,0.000,0.000,30
NerA,MeOH,5,0.019,0.001,30
NerA,MeOH,10,0.020,0.001,30
NerA,MeOH,15,0.020,0.000,30
NerA,MeOH,20,0.017,0.000,30
NerA,MeOH,25,0.003,0.001,30
NerA,MeOH,30,0.001,0.001,30
NerA,MeOH,35,0.001,0.000,30
NerA,MeOH,40,0.001,0.001,30
NerA,MeOH,45,0.000,0.000,30
NerA,EtOH,0,0.019,0.002,25
NerA,EtOH,0.1,0.017,0.001,25
NerA,EtOH,0.2,-0.001,0.001,25
NerA,EtOH,5,0.020,0.002,25
NerA,EtOH,10,0.022,0.001,25
NerA,EtOH,15,0.015,0.001,25
NerA,EtOH,20,0.007,0.001,25
NerA,EtOH,25,0.004,0.002,25
NerA,EtOH,30,0.002,0.001,25
NerA,EtOH,35,0.002,0.003,25
NerA,EtOH,40,-0.001,0.001,25
NerA,EtOH,45,0.002,0.003,25
NerA,MeOH,0,0.022,0.003,25
NerA,MeOH,0.1,0.019,0.001,25
NerA,MeOH,0.2,-0.001,0.001,25
NerA,MeOH,5,0.021,0.001,25
NerA,MeOH,10,0.024,0.001,25
NerA,MeOH,15,0.022,0.001,25
NerA,MeOH,20,0.020,0.001,25
NerA,MeOH,25,0.010,0.001,25
NerA,MeOH,30,0.003,0.002,25
NerA,MeOH,35,0.003,0.002,25
NerA,MeOH,40,0.002,0.002,25
NerA,MeOH,45,0.001,0.001,25
