Enzyme,Solvent,Concentration,Temperature,FU
XenB,EtOH,2.5,25,0.8237148323091754
XenB,EtOH,5,25,0.8264788747358769
XenB,EtOH,7.5,25,0.8247015825208889
XenB,EtOH,10,25,0.8183025498904399
XenB,EtOH,12.5,25,0.810714203328592
XenB,EtOH,15,25,0.8093091303024645
XenB,EtOH,17.5,25,0.8145136612100567
XenB,EtOH,20,25,0.7863146241177306
XenB,EtOH,22.5,25,0.8239988950250835
XenB,EtOH,25,25,0.7809093155177703
XenB,EtOH,27.5,25,
XenB,EtOH,30,25,0.8234395703549764
XenB,EtOH,32.5,25,
XenB,EtOH,35,25,0.8414370345694551
XenB,EtOH,37.5,25,
XenB,EtOH,40,25,
YqiG,EtOH,2.5,25,0.7369873697897286
YqiG,EtOH,5,25,0.738626636295746
YqiG,EtOH,7.5,25,0.7398552245877915
YqiG,EtOH,10,25,0.7296848953039046
YqiG,EtOH,12.5,25,0.693417312433741
YqiG,EtOH,15,25,0.7298668765813925
YqiG,EtOH,17.5,25,0.698766160797147
YqiG,EtOH,20,25,0.7268638716729744
YqiG,EtOH,22.5,25,0.7296210447062346
YqiG,EtOH,25,25,0.7394435857349139
YqiG,EtOH,27.5,25,0.736275662372869
YqiG,EtOH,30,25,0.8288991981328225
YqiG,EtOH,32.5,25,0.8860513507112826
YqiG,EtOH,35,25,0.8987350236954329
YqiG,EtOH,37.5,25,0.886279150718633
YqiG,EtOH,40,25,0.9053401677833877
XenB,EtOH,2.5,30,0.8183538740879572
XenB,EtOH,5,30,0.8190541691323935
XenB,EtOH,7.5,30,0.8167995365153378
XenB,EtOH,10,30,0.8083140679142458
XenB,EtOH,12.5,30,0.8039440411773673
XenB,EtOH,15,30,0.8067356212783109
XenB,EtOH,17.5,30,0.8251191723239605
XenB,EtOH,20,30,0.8025426835116265
XenB,EtOH,22.5,30,0.8405873055966722
XenB,EtOH,25,30,0.798848098286276
XenB,EtOH,27.5,30,
XenB,EtOH,30,30,0.8374372637703656
XenB,EtOH,32.5,30,
XenB,EtOH,35,30,0.8549643858304108
XenB,EtOH,37.5,30,
XenB,EtOH,40,30,
YqiG,EtOH,2.5,30,0.7394088257268294
YqiG,EtOH,5,30,0.7420899802685272
YqiG,EtOH,7.5,30,0.7442502548878832
YqiG,EtOH,10,30,0.735144643604549
YqiG,EtOH,12.5,30,0.699836333034532
YqiG,EtOH,15,30,0.7368955526192577
YqiG,EtOH,17.5,30,0.7080685466870378
YqiG,EtOH,20,30,0.7395496382054147
YqiG,EtOH,22.5,30,0.7499739623334277
YqiG,EtOH,25,30,0.7653012738587139
YqiG,EtOH,27.5,30,0.7733877426358707
YqiG,EtOH,30,30,0.8467680111678028
YqiG,EtOH,32.5,30,0.9038022266352177
YqiG,EtOH,35,30,0.9124739772875226
YqiG,EtOH,37.5,30,0.9004817149145373
YqiG,EtOH,40,30,0.9166339265624386
XenB,EtOH,2.5,35,0.8031947138526829
XenB,EtOH,5,35,0.80692759509961
XenB,EtOH,7.5,35,0.8165260389921504
XenB,EtOH,10,35,0.8246744243403261
XenB,EtOH,12.5,35,0.8298243911690244
XenB,EtOH,15,35,0.8382084005586138
XenB,EtOH,17.5,35,0.8553632315997872
XenB,EtOH,20,35,0.8357264389157468
XenB,EtOH,22.5,35,0.8687627475266471
XenB,EtOH,25,35,0.8193609054048547
XenB,EtOH,27.5,35,
XenB,EtOH,30,35,0.8504044793047132
XenB,EtOH,32.5,35,
XenB,EtOH,35,35,0.8660681305317789
XenB,EtOH,37.5,35,
XenB,EtOH,40,35,
YqiG,EtOH,2.5,35,0.7449004901642494
YqiG,EtOH,5,35,0.7489267757783871
YqiG,EtOH,7.5,35,0.7508895624310244
YqiG,EtOH,10,35,0.7442279689331907
YqiG,EtOH,12.5,35,0.713845745487929
YqiG,EtOH,15,35,0.7555533595048636
YqiG,EtOH,17.5,35,0.7423734264238709
YqiG,EtOH,20,35,0.8056738811887473
YqiG,EtOH,22.5,35,0.8338757315160763
YqiG,EtOH,25,35,0.8531631623190417
YqiG,EtOH,27.5,35,0.8713908766351754
YqiG,EtOH,30,35,0.9055311372272972
YqiG,EtOH,32.5,35,0.920719275681795
YqiG,EtOH,35,35,0.9246057995601015
YqiG,EtOH,37.5,35,0.9109622651380835
YqiG,EtOH,40,35,0.925130445894352
XenB,EtOH,2.5,40,0.8355024570669579
XenB,EtOH,5,40,0.8444433116887542
XenB,EtOH,7.5,40,0.8519439758095656
XenB,EtOH,10,40,0.855229725685358
XenB,EtOH,12.5,40,0.8634807908507182
XenB,EtOH,15,40,0.871480946302081
XenB,EtOH,17.5,40,0.8799075033218741
XenB,EtOH,20,40,0.8533304278669197
XenB,EtOH,22.5,40,0.8815597037383114
XenB,EtOH,25,40,0.8330911339129596
XenB,EtOH,27.5,40,
XenB,EtOH,30,40,0.8634727354250077
XenB,EtOH,32.5,40,
XenB,EtOH,35,40,0.8765462652980353
XenB,EtOH,37.5,40,
XenB,EtOH,40,40,0.8812434136458671
YqiG,EtOH,2.5,40,0.7531219459166597
YqiG,EtOH,5,40,0.7601145864185793
YqiG,EtOH,7.5,40,0.7655512414099472
YqiG,EtOH,10,40,0.7687958836110851
YqiG,EtOH,12.5,40,0.7777909749758174
YqiG,EtOH,15,40,0.8641178786811448
YqiG,EtOH,17.5,40,0.8804524977541685
YqiG,EtOH,20,40,0.9483173801020099
YqiG,EtOH,22.5,40,0.9645365165004508
YqiG,EtOH,25,40,0.9792514315116777
YqiG,EtOH,27.5,40,0.9847045649398427
YqiG,EtOH,30,40,0.9730942113688373
YqiG,EtOH,32.5,40,0.9375860719347894
YqiG,EtOH,35,40,0.9391999327004344
YqiG,EtOH,37.5,40,0.9232301040016788
YqiG,EtOH,40,40,0.934985175504207
XenB,EtOH,2.5,45,0.8658728505342285
XenB,EtOH,5,45,0.8723503972546288
XenB,EtOH,7.5,45,0.8745591761006973
XenB,EtOH,10,45,0.8720230184618838
XenB,EtOH,12.5,45,0.8759561025709887
XenB,EtOH,15,45,0.8813946376099024
XenB,EtOH,17.5,45,0.891023151237457
XenB,EtOH,20,45,0.8665577230459657
XenB,EtOH,22.5,45,0.8922610861020802
XenB,EtOH,25,45,0.846072586285178
XenB,EtOH,27.5,45,
XenB,EtOH,30,45,0.87449955504624
XenB,EtOH,32.5,45,
XenB,EtOH,35,45,0.8860181295799608
XenB,EtOH,37.5,45,0.9251860262491773
XenB,EtOH,40,45,0.8893563905889688
YqiG,EtOH,2.5,45,0.7712585414222363
YqiG,EtOH,5,45,0.80157671492109
YqiG,EtOH,7.5,45,0.8555174218761203
YqiG,EtOH,10,45,0.9360382300792138
YqiG,EtOH,12.5,45,0.9841316148474977
YqiG,EtOH,15,45,1.0161271604633815
YqiG,EtOH,17.5,45,0.9819114958500279
YqiG,EtOH,20,45,1.022841091272764
YqiG,EtOH,22.5,45,1.0176988400948916
YqiG,EtOH,25,45,1.0251243636410223
YqiG,EtOH,27.5,45,1.004011566928861
YqiG,EtOH,30,45,0.9878165115806369
YqiG,EtOH,32.5,45,0.9565244538338784
YqiG,EtOH,35,45,0.9617788666237078
YqiG,EtOH,37.5,45,0.9439646645412894
YqiG,EtOH,40,45,0.9507815787044921
XenB,EtOH,2.5,50,0.8765896166157121
XenB,EtOH,5,50,0.8795668767975979
XenB,EtOH,7.5,50,0.8823024372370631
XenB,EtOH,10,50,0.8817278433909924
XenB,EtOH,12.5,50,0.8854557850793933
XenB,EtOH,15,50,0.8911320847874156
XenB,EtOH,17.5,50,0.9012836140329691
XenB,EtOH,20,50,0.8778742869340992
XenB,EtOH,22.5,50,0.9042547242075794
XenB,EtOH,25,50,0.8575498312882863
XenB,EtOH,27.5,50,0.8634235302487046
XenB,EtOH,30,50,0.8850543243315759
XenB,EtOH,32.5,50,0.8874364913181179
XenB,EtOH,35,50,0.8954118004638841
XenB,EtOH,37.5,50,0.9328221923386829
XenB,EtOH,40,50,0.8968580202323094
YqiG,EtOH,2.5,50,0.9090181290912466
YqiG,EtOH,5,50,1.0016958614220266
YqiG,EtOH,7.5,50,1.0294597301693682
YqiG,EtOH,10,50,1.0354790431405092
YqiG,EtOH,12.5,50,1.0286443364981386
YqiG,EtOH,15,50,1.040188721426373
YqiG,EtOH,17.5,50,0.992248365922928
YqiG,EtOH,20,50,1.031894888415446
YqiG,EtOH,22.5,50,1.0244109759677262
YqiG,EtOH,25,50,1.031500096668453
YqiG,EtOH,27.5,50,1.0088593777867039
YqiG,EtOH,30,50,1.0046801591802994
YqiG,EtOH,32.5,50,0.979496187905175
YqiG,EtOH,35,50,0.9931704774446648
YqiG,EtOH,37.5,50,0.9718496650829712
YqiG,EtOH,40,50,0.9726194901584891
XenB,EtOH,2.5,60,0.8929851101519282
XenB,EtOH,5,60,0.8970498331494414
XenB,EtOH,7.5,60,0.9000254817286257
XenB,EtOH,10,60,0.8998921468376151
XenB,EtOH,12.5,60,0.9044389713176019
XenB,EtOH,15,60,0.9114103840718275
XenB,EtOH,17.5,60,0.9221846526852349
XenB,EtOH,20,60,0.9007567441456936
XenB,EtOH,22.5,60,0.9272256525214259
XenB,EtOH,25,60,0.8802936158878846
XenB,EtOH,27.5,60,0.886022064608224
XenB,EtOH,30,60,0.907284017142264
XenB,EtOH,32.5,60,0.902792147429589
XenB,EtOH,35,60,0.9130244671162088
XenB,EtOH,37.5,60,0.9467420368100856
XenB,EtOH,40,60,0.910474603230286
YqiG,EtOH,2.5,60,1.0451997173974148
YqiG,EtOH,5,60,1.0539071939504008
YqiG,EtOH,7.5,60,1.057896578532159
YqiG,EtOH,10,60,1.0576585646640206
YqiG,EtOH,12.5,60,1.0445619528481709
YqiG,EtOH,15,60,1.0537591944673947
YqiG,EtOH,17.5,60,0.996940935273497
YqiG,EtOH,20,60,1.0408802107047455
YqiG,EtOH,22.5,60,1.0291905287172085
YqiG,EtOH,25,60,1.0378279233112193
YqiG,EtOH,27.5,60,1.011815783622573
YqiG,EtOH,30,60,1.0219532248653822
YqiG,EtOH,32.5,60,1.0099320677646124
YqiG,EtOH,35,60,1.0120857454791417
YqiG,EtOH,37.5,60,0.992266254786673
YqiG,EtOH,40,60,0.9846429979091573
XenB,EtOH,2.5,70,0.9094037423087731
XenB,EtOH,5,70,0.9137352933131786
XenB,EtOH,7.5,70,0.9196406075305188
XenB,EtOH,10,70,0.9181577958797487
XenB,EtOH,12.5,70,0.9239408127388382
XenB,EtOH,15,70,0.9334173070577966
XenB,EtOH,17.5,70,0.9453285148769885
XenB,EtOH,20,70,0.9261825935580874
XenB,EtOH,22.5,70,0.9555781457057141
XenB,EtOH,25,70,0.9065292061462646
XenB,EtOH,27.5,70,0.9090146116014588
XenB,EtOH,30,70,0.9274830141333271
XenB,EtOH,32.5,70,0.9190685931489704
XenB,EtOH,35,70,0.9296132114435005
XenB,EtOH,37.5,70,0.9573692377778925
XenB,EtOH,40,70,0.925592744548214
YqiG,EtOH,2.5,70,1.0668879694999716
YqiG,EtOH,5,70,1.0720651148461622
YqiG,EtOH,7.5,70,1.0705319976673147
YqiG,EtOH,10,70,1.067190572941413
YqiG,EtOH,12.5,70,1.0489500821854116
YqiG,EtOH,15,70,1.0578711604254778
YqiG,EtOH,17.5,70,0.9933192809343735
YqiG,EtOH,20,70,1.0390663732842962
YqiG,EtOH,22.5,70,1.0287649819195392
YqiG,EtOH,25,70,1.0370190225334264
YqiG,EtOH,27.5,70,1.0088679163550338
YqiG,EtOH,30,70,1.0220663455092729
YqiG,EtOH,32.5,70,1.021057406999097
YqiG,EtOH,35,70,1.0156359821630245
YqiG,EtOH,37.5,70,0.9918294403239657
YqiG,EtOH,40,70,0.9847759294367103
XenB,EtOH,2.5,80,0.9239770192673789
XenB,EtOH,5,80,0.9312152214708143
XenB,EtOH,7.5,80,0.9381842317659832
XenB,EtOH,10,80,0.9370406789049142
XenB,EtOH,12.5,80,0.944540856138998
XenB,EtOH,15,80,0.9580106410113518
XenB,EtOH,17.5,80,0.9712173707615926
XenB,EtOH,20,80,0.9509353090683063
XenB,EtOH,22.5,80,0.9839281011601646
XenB,EtOH,25,80,0.9338586726431763
XenB,EtOH,27.5,80,0.9271753347197945
XenB,EtOH,30,80,0.9454119791350164
XenB,EtOH,32.5,80,0.9320273083938224
XenB,EtOH,35,80,0.9440559018361162
XenB,EtOH,37.5,80,0.961647013400933
XenB,EtOH,40,80,0.9416595103418194
YqiG,EtOH,2.5,80,1.074755562297496
YqiG,EtOH,5,80,1.0770845950686685
YqiG,EtOH,7.5,80,1.0724935549998145
YqiG,EtOH,10,80,1.0690219932751552
YqiG,EtOH,12.5,80,1.0438990210594785
YqiG,EtOH,15,80,1.0536417443150894
YqiG,EtOH,17.5,80,0.9902212712943037
YqiG,EtOH,20,80,1.03432966167521
YqiG,EtOH,22.5,80,1.0252325538888876
YqiG,EtOH,25,80,1.0328924506010109
YqiG,EtOH,27.5,80,1.0037433892818908
YqiG,EtOH,30,80,1.0205911886138368
YqiG,EtOH,32.5,80,1.0222714846730623
YqiG,EtOH,35,80,1.0122297936432383
YqiG,EtOH,37.5,80,0.9865336802911728
YqiG,EtOH,40,80,0.9827580333773788
NerA,EtOH,0,25,0.6177434543761307
NerA,EtOH,2,25,0.6130014656252615
NerA,EtOH,4,25,0.6157672556308759
NerA,EtOH,6,25,0.6136997417519663
NerA,EtOH,8,25,0.6337824457096305
NerA,EtOH,10,25,0.6198976537285401
NerA,EtOH,12,25,0.6281544707380756
NerA,EtOH,14,25,0.6189305634015442
NerA,EtOH,16,25,0.627196095170218
NerA,EtOH,18,25,0.6361899341464531
NerA,EtOH,20,25,0.70722251457215
NerA,EtOH,22,25,0.7376016107426238
NerA,EtOH,24,25,0.8120633068453705
NerA,EtOH,26,25,0.776539770637638
NerA,EtOH,28,25,0.7991329392329429
NerA,EtOH,30,25,0.8172738554335406
YqjM,EtOH,0,25,1.0396710771922069
YqjM,EtOH,2,25,1.0409226459197283
YqjM,EtOH,4,25,1.0384730224953598
YqjM,EtOH,6,25,1.0290022816220459
YqjM,EtOH,8,25,1.0344922773708032
YqjM,EtOH,10,25,1.236177783055265
YqjM,EtOH,12,25,1.024942428683397
YqjM,EtOH,14,25,1.0266169669197054
YqjM,EtOH,16,25,1.0331594093829908
YqjM,EtOH,18,25,1.0526602136915177
YqjM,EtOH,20,25,1.0523433798161308
YqjM,EtOH,22,25,0.958106292851867
YqjM,EtOH,24,25,0.9518911128911445
YqjM,EtOH,26,25,0.9444104387433357
YqjM,EtOH,28,25,0.9384217289239911
YqjM,EtOH,30,25,0.9243956551396438
NerA,EtOH,0,30,0.6260958104161634
NerA,EtOH,2,30,0.6211857488383992
NerA,EtOH,4,30,0.6234792121337515
NerA,EtOH,6,30,0.6230815344305779
NerA,EtOH,8,30,0.6419521747704717
NerA,EtOH,10,30,0.63060807529295
NerA,EtOH,12,30,0.6395109760115871
NerA,EtOH,14,30,0.633800632033376
NerA,EtOH,16,30,0.6506973414412681
NerA,EtOH,18,30,0.6608998431950965
NerA,EtOH,20,30,0.7450505228098164
NerA,EtOH,22,30,0.7773675251784848
NerA,EtOH,24,30,0.8227585651691834
NerA,EtOH,26,30,0.7987616602466013
NerA,EtOH,28,30,0.8110303450265678
NerA,EtOH,30,30,0.831606623597248
YqjM,EtOH,0,30,1.046313795695699
YqjM,EtOH,2,30,1.0471086602005621
YqjM,EtOH,4,30,1.045448529714267
YqjM,EtOH,6,30,1.039987658696507
YqjM,EtOH,8,30,1.049196372666627
YqjM,EtOH,10,30,1.2329892953841246
YqjM,EtOH,12,30,1.0505550819125125
YqjM,EtOH,14,30,1.0567869283398499
YqjM,EtOH,16,30,1.0618247841506263
YqjM,EtOH,18,30,1.0676188608509787
YqjM,EtOH,20,30,1.044066213030656
YqjM,EtOH,22,30,0.9653687732428329
YqjM,EtOH,24,30,0.960836005265372
YqjM,EtOH,26,30,0.9499832394944444
YqjM,EtOH,28,30,0.9466986892675148
YqjM,EtOH,30,30,0.9359510938011416
NerA,EtOH,0,35,0.6343002752410594
NerA,EtOH,2,35,0.6298053651325974
NerA,EtOH,4,35,0.6321327717195907
NerA,EtOH,6,35,0.6406385111119912
NerA,EtOH,8,35,0.6615853526141936
NerA,EtOH,10,35,0.6643625619475023
NerA,EtOH,12,35,0.6850133040332446
