Solvent,Enzyme,Temperature,aN,bN,aD,bD,m,D50
EtOH,ChrOYE1,25,0.5839955909127725,0.001919231519293313,0.12771944215952188,0.003044175350049183,4389.419941429777,27.430483894428942
EtOH,ChrOYE1,30,0.5932060421626059,0.0030061371288735853,0.18304689941459723,0.0006719609572077566,2161.5211909893724,27.04798406854989
EtOH,ChrOYE1,35,0.6246836879248931,0.004257233617592174,0.15580513252455877,0.0,1342.6819056086429,22.805942795399446
EtOH,ChrOYE1,40,0.673519673938963,0.0018641142809930759,0.20167390849339567,0.0,1153.9659157895821,13.212530836461942
EtOH,ChrOYE1,45,0.7279147042938066,0.001753292704303805,0.1627831776790477,0.0,1523.1972702261191,7.510643190094754
EtOH,ChrOYE1,50,0.8838445768040248,0.0023983296317177114,0.0,0.0,1489.6757380569825,18.609717041522302
EtOH,ChrOYE1,60,0.9133071939499859,0.0019679239125808138,0.0,0.000191491109760137,1488.0431569485856,18.838451038598432
EtOH,ChrOYE1,70,0.9311564971613562,0.0018267665758004215,0.022994323050857416,0.0,1347.8701679396104,24.414000906671415
EtOH,ChrOYE1,80,0.9338715616647607,0.00021080209962956364,0.12116915987977672,0.0,412.1780433591165,17.47442957633593
EtOH,DrER,25,0.6599149967682418,0.0026356200275056444,0.19703109992712503,0.0,3634.735682386095,26.850221268064075
EtOH,DrER,30,0.6696338138175936,0.002274549957059124,0.22513443215724874,0.0,1992.7406760090594,23.73503750265844
EtOH,DrER,35,0.6887811759721137,0.0,0.21466983803442796,0.0025734604711315306,1416.0408464033392,17.36750230321445
EtOH,DrER,40,0.6860934692997505,0.0,0.27954133293430783,0.0013149114440003434,830.3843646614575,12.5755049303184
EtOH,DrER,45,0.6192701207481719,0.000670677360680596,0.3896618205073893,4.7667751610702536e-07,428.9329210127203,5.601351483387873
EtOH,DrER,50,0.8237288314005268,0.002022970814358216,0.15046343534887008,2.096923201689282e-08,560.3271218440213,7.49854403190281
EtOH,DrER,60,0.9600215031094284,0.002206562973991615,0.036722846593013725,0.0,1417.9299934693,19.924510223926674
EtOH,DrER,70,0.9808157009812608,0.0011829109306411396,0.077035842971794,0.0,1301.2008489203347,19.11093803327454
EtOH,DrER,80,0.994451079422986,0.00015467308232231875,0.11982947292019155,0.0,899.1678846782008,17.82347100416645
EtOH,LacER,25,0.8652639767651742,0.00016844915285796062,0.016119326654892855,0.0,1498.6241068124143,18.97896329664705
EtOH,LacER,30,0.8752214614461193,0.0,0.025382709892347158,0.0,1470.0992002698379,14.574214925511798
EtOH,LacER,35,0.8956915021670776,0.0,0.021007026926910744,0.0,1496.7139397425135,18.772487090007317
EtOH,LacER,40,0.9078753469689117,0.0,0.02270999908371282,0.0,8537.246445373607,17.895436834625936
EtOH,LacER,45,0.9160676634436323,0.0,0.031203134620969897,0.0,1519.3897812411649,16.446871021410473
EtOH,LacER,50,0.9304697589623896,0.0,0.03432955637521345,0.0,1518.8101736161357,16.76036346578397
EtOH,LacER,60,0.9575797021198533,0.0,0.053402410971793095,0.0,1515.8513554878618,17.30537394113565
EtOH,LacER,70,0.9890360442418791,0.0,0.06220011377209356,0.0,1528.255677261244,14.8390150617305
EtOH,LacER,80,1.0327839260634055,0.0,0.050300943021719904,0.0,1555.763695836933,11.331488926804617
EtOH,NCR,25,0.7185658439732908,0.0,0.0,0.022914501963241234,191.93462635001455,62.764137996825404
EtOH,NCR,30,0.7155461016132199,5.923346782354637e-05,0.008154834412337645,0.00838164663573549,247.86867480037586,42.11883117720065
EtOH,NCR,35,0.7127432326931569,0.0,0.0,0.008534661197221486,235.23450887363916,32.90617658186066
EtOH,NCR,40,0.7088271363334835,0.004722570818101773,0.0,0.00121750651030078,10029.910144655456,17.602506580567677
EtOH,NCR,45,0.7674651331934789,0.004843181548566781,0.0,0.0,1470.0001467995348,18.039977113708797
EtOH,NCR,50,0.8217136289640786,0.003618499832392633,0.0,0.0,1476.283603627987,19.195376489892155
EtOH,NCR,60,0.8695308896283509,0.0022232262475178287,0.9731673612591147,0.015482729470136618,337.9137546486311,63.50532296749198
EtOH,NCR,70,0.8952465841780349,0.0030807451921774504,0.0,0.0009101796910264065,1408.8854016338262,22.77405294141112
EtOH,NCR,80,0.929570225982925,0.001798923528592327,0.054266400726115084,0.0,1485.1392693166422,16.15704107825376
EtOH,NerA,25,0.6164300330828902,0.0004482052405765809,0.079887686806369,0.00338311690203349,2151.691126179049,20.08362683860375
EtOH,NerA,30,0.6213437936868241,0.001305452133593736,0.08406895113727897,0.0027115022758225646,3174.686807547571,19.392024437435165
EtOH,NerA,35,0.6332318085093387,0.0019407708384455158,0.1513527964272047,0.0,1480.8886767875592,15.608769883333958
EtOH,NerA,40,0.6393559648812731,3.829092640325556e-06,0.1944979721557188,0.000395213479524711,1248.7122156252276,8.976099282783828
EtOH,NerA,45,0.7283575698933558,0.0056872057972413076,0.0,0.0,1477.760396175847,17.43607750680366
EtOH,NerA,50,0.7920731663623299,0.003296846962625715,0.0,0.0,1491.9564585812232,18.425090723181892
EtOH,NerA,60,0.8538385085843938,0.001338493546852162,0.000581482082283166,0.0,1496.30008549587,18.780737123100646
EtOH,NerA,70,0.8827539423343955,0.001306022566230587,0.0005705368639585504,0.0,1494.7609567030106,18.64743609202282
EtOH,NerA,80,0.9538286041436299,0.0,0.04274272280959607,0.0,7599.6315864201715,21.1425440452316
EtOH,OYE1,25,0.7562250534383591,0.0002823638133242635,0.05284298287647768,0.0,3294.2051459490067,21.017401862107004
EtOH,OYE1,30,0.7608849831600161,0.0005409212725689372,0.05779721283263563,0.0,2402.6562157765093,21.36745002764914
EtOH,OYE1,35,0.7762465527886113,0.0,0.11003954849677378,0.0,1100.9166445413175,19.62473712563232
EtOH,OYE1,40,0.7785729362892737,0.0,0.11865181769829564,0.0,808.8699142672118,10.510090640601096
EtOH,OYE1,45,0.8604965751220587,0.0,0.05798960694711478,0.0,522.5613853814913,12.805674372572463
EtOH,OYE1,50,0.8869261631813219,0.0,0.03556313720227925,0.0,1446.150831364358,13.16801643802327
EtOH,OYE1,60,0.9145936175733083,0.0005146376165914206,0.019335477604381743,1.560632918511592e-05,1496.174399419671,18.74236690531211
EtOH,OYE1,70,0.93105378311468,0.0,0.03176761899071627,0.0,1513.1888973942173,8.948626623877566
EtOH,OYE1,80,0.9522952863344589,0.0,0.023717847466640855,0.0,1536.381996163807,7.219310181636325
EtOH,PpXenB,25,0.7185997109219023,0.0,0.13555496485769886,0.0,2170.61592833406,23.06259074348219
EtOH,PpXenB,30,0.7252480209182948,0.0,0.1427521132724293,0.0,2067.854918811126,22.855014208233275
EtOH,PpXenB,35,0.722519250386183,8.70945238865961e-05,0.16140005620730002,1.564806971141241e-05,628.9871596083515,17.64322314397089
